vid,payee,verdict,confidence,overtaker_interest,recommended_action,false_positive_markers,public_context,data_explanation
IV0000046838,ASHBRITT INC,genuine_review,high,5,keep,none,"AshBritt Inc, a Florida disaster-response contractor, built Governor Doug Ducey 2022 Arizona shipping-container border wall under a no-bid sole-source emergency contract (AshBritt was the only company considered), paid about 194.7M to erect and later remove the barrier; total cost exceeded 200M plus about 76M for teardown after federal objections, drawing oversight and procurement scrutiny.","15 FY2023 txns totaling 194.7M USD, all to DEPT OF EMERGENCY AND MILITARY AFFAIRS (DEMA), all from the BORDER SECURITY FUND under appropriations BORDER SECURITY FENCE AND TECHNOLOGIES and BORDER SECURITY FUND, category PROFESSIONAL AND OUTSIDE SERVICES. Every row is on one contract CTR060412, contract_name BORDER SECURITY ASSESSMENT AND SAFETY BARRIER IMPLEMENTATION. Markers fire correctly: sole_source, new_vendor_large, new_vendor_dominant, short_tenure_vendor, vendor_dependency, peer_outlier (robust_z up to 839.8), plus whole_dollar/round_1m/nonstd_rail on two WARRANT payments of exactly 4M "
11368201,ARIZONA STATE UNIVERSITY,false_positive_marker,high,1,suppress_marker,peer_outlier; whole_dollar; offcontract; sole_source; june_round,,"The two Tier-1 transactions ($90,000,000 FY2016 + $90,027,777 FY2018, $158,035,000 total) are both payments against the appropriation 'OPERATING LUMP SUM APPROPRIATION - MAIN' in category OTHER OPERATING EXPENDITURES with appr_type_canon=1 (operating appropriation). These are the State of Arizona's legislatively-appropriated operating subsidy disbursed to ASU itself via ACH — a statutory intergovernmental transfer, not a procurement. The only marker on these is peer_outlier. vendor_share_of_agency_year=1.000 and robust_z=30-40 are pure artifacts: the agency literally IS 'ARIZONA STATE UNIVERSI"
PZ000001945,SECURITY TITLE AGENCY INC,explained_benign,high,2,annotate,whole_dollar; offcontract; no_contract_named; round_100k; peer_outlier; nonstd_rail,"Security Title Agency Inc. is a long-established Arizona title insurance and escrow company (Phoenix-based, operating statewide), routinely used as the escrow/closing agent for real-property transactions including government right-of-way land acquisitions.","All 24 Tier-1 rows (and the full ~397-row, ~$235M high-value history) are CAPITAL OUTLAY at DEPT OF TRANSPORTATION under appropriations FEDERAL AID, M-RARF CONSTRUCT FREEWAYS OTH RT, HIGHWAY CONSTRUCTION, LOCAL AGENCY DEPOSITS, and the formula-driven 12.6%/2.6% RARF DISTRIBUTION transfers. 390 of 397 HV rows post to object_no 8111 (ADOT right-of-way / land-acquisition object). Security Title is a title/escrow agency: ADOT routes freeway right-of-way (parcel) acquisition and escrow settlements through title companies. It is not a lone vendor but the largest member of a clear peer group of ~15 t"
IV0000001650,UNITED HEALTHCARE SERVICES INC,explained_benign,high,2,downgrade,new_vendor_large; new_vendor_dominant; offcontract; whole_dollar,"UnitedHealthcare Services Inc is the core subsidiary of UnitedHealth Group, the largest U.S. health insurer; it administers medical/managed-care benefits, including for public-employee groups such as Arizona's state-employee health plan.","All flagged Tier-1 txns and the vendor's full ~664-row high-value history are from DEPT OF ADMINISTRATION (ADOA) under appropriation NON APPROPRIATED BENEFITS PROGRAM, category OTHER OPERATING EXPENDITURES, paid via ACH — this is the State of Arizona employee health-insurance benefits trust, with UHC as the medical/managed-care plan. Amounts are large, recurring, whole-dollar monthly capitation/premium transfers (~$7-9.5M each), benign by structure. The new_vendor_large/new_vendor_dominant markers (which drove the max risk_score 11.2 in FY2021) are misfires: 'UNITED HEALTHCARE' and 'UNITED HEA"
IV0000012155,CENTURION OF ARIZONA LLC,explained_benign,high,3,annotate,short_tenure_vendor; new_vendor_large; new_vendor_dominant; offcontract; no_contract_named,"Centurion of Arizona LLC (a Centene/MHM subsidiary) was awarded the Arizona Department of Corrections statewide inmate correctional-healthcare contract (RFP ADOC18-00008264), effective July 1, 2019, at roughly $204M per year to serve the state's 10 prison facilities.","All 50 high-value/flagged rows are a single documented major contract: Arizona DEPT OF CORRECTIONS, appropriation ""INMATE HEALTH CARE CONTRACTED SERVICES"" / ""MEDICAL STAFFING AUGMENTATION"", category ""PROFESSIONAL AND OUTSIDE SERVICES"", paid by ACH. contract_name explicitly reads ""INMATE CORRECTIONAL HEALTHCARE ADOC18-216360"" (with AMENDMENT 2/3 variants) and contract_number CTR041835 on 37 of 50 rows. Yearly totals: ~$200M FY2021, ~$75M FY2023 — consistent with the ~$204M/yr statewide inmate-healthcare contract Centurion won effective July 2019. High robust-z (up to 18.6) and 12.6% agency-year"
IV0000000997,ARIZONA STATE UNIVERSITY,false_positive_marker,high,2,suppress_marker,new_vendor_large; new_vendor_dominant; offcontract; no_contract_named; whole_dollar; round_1m; june_round; peer_outlier,Arizona State University is a public research university; its Biodesign Institute operated Arizona's statewide COVID-19 saliva-based testing program under contract with the AZ Dept of Health Services during the pandemic.,"ASU is a public state university; all flagged rows are intergovernmental pass-throughs/IGAs, benign by structural caveat (3). The two largest items ($92M FY2023, $46M FY2021) are CORONAVIRUS RELIEF FUND APPROPRIATION disbursements paid by ASU's own agency line (federal CARES/ARPA relief), not discretionary procurement. The DHS cluster (~$70M) is contract CTR050514 'EDC - ISA, COVID-19 SALIVA BASED TESTING' / 'COVID-19 SALIVA BASED TESTING' — a named interagency agreement (ASU Biodesign ran AZ's COVID saliva program). DOE rows are named ESSER III FUNDING amendments (CTR059828/059832/059825/0598"
IV0000002317,FNF CONSTRUCTION INC,explained_benign,high,2,downgrade,"new_vendor_large (first_year_seen 2021 is the system-wide NULL vendor_id artifact, caveat #1; FNF is a long-standing ADOT contractor); offcontract (caveat #2: only 8/859 rows have contract_number; a genuine ADOT contract CTR061876 exists); no_contract_named (same sparse-population artifact); whole_dollar (ADOT construction progress payments are routinely whole-dollar); peer_outlier (driven by raw transaction size on normal capital highway work; robust_z near 0, share only 4.5%)",,"FNF Construction is a road/highway construction contractor paid exclusively by AZ Dept of Transportation (1 agency, all CAPITAL OUTLAY, all ACH). Lifetime ~$678M across 859 high-value rows FY2021-2025. Appropriations are specific named federal-aid highway projects: FEDERAL AID, REPAVE SR 95 IN MOHAVE CTY, REHABILITATE PAVEMENT ON ROAD PROJECTS, REHAB SR90 PAVE, M-RARF CONSTRUCT FREEWAYS, EMERGENCY BOX CULVERT CLEARING ON US 89. One row block (FY2023) carries a real ADOT contract number CTR061876, confirming these are contracted construction jobs; the rest are NULL only because contract_number "
IV0000000572,SECURITY TITLE AGENCY INC,explained_benign,high,2,annotate,new_vendor_large; offcontract; no_contract_named; whole_dollar,"Security Title Agency, Inc. is one of Fidelity National Financial's largest Arizona title brands (50+ years in the state) providing title insurance and escrow/closing services; it has a dedicated escrow manager for ADOT government/right-of-way projects, matching the highway-acquisition disbursements seen in the data.","All 290 high-value rows ($149.6M FY2021-2025) are from a single agency, DEPT OF TRANSPORTATION, under CAPITAL OUTLAY, in highway/freeway right-of-way appropriations: FEDERAL AID, M-RARF CONSTRUCT FREEWAYS OTH RT 56-2, US ROUTE 95 EXPANSION, CONSTRUCT ROUNDABOUT AT INTERSECTION OF SR69, HIGHWAY CONSTRUCTION. transaction_description is uniformly 'N/A'; contract_name and contract_number are 100% NULL for this vendor. This is a title/escrow agency receiving ADOT disbursements for right-of-way land acquisition/escrow on state highway projects -- structurally a routine capital-program pass-through. "
IV0000039359,VIZIENT INC,explained_benign,high,2,downgrade,short_tenure_vendor; new_vendor_large; peer_outlier,"Vizient Inc is a large U.S. healthcare performance-improvement/group-purchasing company (Irving, TX). In July 2020 it partnered with the Arizona Dept of Health Services to bring ~600 out-of-state nurses into overwhelmed hospitals during the COVID-19 surge; the staffing/labor-management arm was later acquired by Aya Healthcare.","All 38 high-value rows (19 Tier-1, $72.1M flagged of $74.9M total) are a single FY2021 contract with DEPT OF HEALTH SERVICES: contract_number CTR050545, contract_name ""MANAGEMENT OF TRAVELING NURSES AND HEALTHCARE WORKERS"", appropriation_1_name ""PUBLIC HEALTH EMERGENCIES"", category1 ""PROFESSIONAL AND OUTSIDE SERVICES"", payment_method ACH. The contract IS named and populated (so 'offcontract' did not fire). This is the documented COVID-19 hospital surge-staffing program: ADHS contracted Vizient to bring ~584-600 out-of-state critical-care/med-surg nurses into Arizona hospitals during the pandem"
VC0000069791,GBC PROPERTIES LLC,mixed,medium,3,annotate,offcontract; no_contract_named; whole_dollar,GBC Properties LLC appears to be an Arizona real-estate/land-holding entity; the payments align with ADOT right-of-way land acquisition for the Maricopa Regional Area Road Fund (RARF) freeway program rather than a service/construction contract.,"All ~$74.6M of high-value spend (5 Tier-1 txns ~$71.2M) is from ONE agency, ADOT (DEPT OF TRANSPORTATION), category CAPITAL OUTLAY, under appropriations 'M-RARF CONSTRUCT FREEWAYS OTH RT 56-2' (Regional Area Road Fund / Maricopa freeway program) and 'FEDERAL AID'. Transaction descriptions are all 'N/A'; contract_name/number all NULL. The payee 'GBC PROPERTIES LLC' + these appropriations + the peer cohort (SECURITY TITLE AGENCY $94M, ZEITLIN AND ZEITLIN PC condemnation law firm $38M, plus JV freeway contractors PULICE-FNF-FLATIRON, FISHER SAND AND GRAVEL, KIEWIT-FANN) point clearly to right-of-"
PZ000001572,NORTHERN ARIZONA UNIVERSITY,false_positive_marker,high,1,suppress_marker,peer_outlier; offcontract; nonstd_rail,,"All $68.8M of Tier-1 is six FY2016 rows of appropriation_1_name='OPERATING LUMP SUM APPROPRIATION' booked under agency='NORTHERN ARIZONA UNIVERSITY' itself — i.e. the State disbursing the legislature's annual operating subsidy to its own public university. The sole Tier-1 marker is peer_outlier, driven by robust_z_in_agencycat values of 152.9 / 59.8 / 22.6 and a 25.8% agency-year share. Those z-scores are an artifact of comparing a university's whole state operating appropriation against ordinary vendor payments in the same agency/category cohort; a public university's lump-sum subsidy will al"
IV0000023826,COFFMAN AMES JOINT VENTURE,explained_benign,high,2,annotate,new_vendor_large; short_tenure_vendor; offcontract; no_contract_named; peer_outlier,"Coffman Ames Joint Venture (involving Ames Construction, a major national heavy-civil contractor) was ADOT's design-build prime contractor for the approximately $185M Loop 101 (Pima Freeway) widening project from I-17 to Pima Road, which began in February 2019. Ames is also part of the Connect 202 Partners JV on the Loop 202 South Mountain Freeway.","All 47 high-value rows (FY2021 + FY2023, ~$93M; 32 flagged Tier-1/2/3 rows ~$94M of that set) are ACH payments to a single agency, the AZ Dept of Transportation (ADOT), entirely in category CAPITAL OUTLAY. The appropriations are 'M-RARF CONSTRUCT FREEWAYS - OTH RT 56-2' (Maricopa Regional Area Road Fund freeway construction) and 'FEDERAL AID - HWY' — i.e., highway/freeway construction capital spend. The payee is a JOINT VENTURE, the standard contracting vehicle for large highway prime contracts. On the very same RARF freeway appropriation in FY2021, Coffman Ames sits among a peer set of known "
IV0000006558,FISHER SAND AND GRAVEL CO,explained_benign,high,2,downgrade,offcontract; no_contract_named; new_vendor_large; whole_dollar,"Fisher Sand & Gravel Co. (also Fisher Industries) is a large, long-established North Dakota-based heavy-civil construction and aggregates contractor active in Arizona highway work; it is a well-known DOT roadbuilding contractor (and gained national attention for border-wall bids). Its ADOT freeway/grading payments are ordinary public-works contracting.","All 211 tier rows / full 308-txn, $268M FY2021-2025 history are to ONE agency (AZ Dept of Transportation), 100% CAPITAL OUTLAY, paid by ACH, against highway-construction appropriations: ""M-RARF CONSTRUCT FREEWAYS OTH RT"" (Maricopa Regional Area Road Fund freeway program), ""FEDERAL AID"", and ""DEBT SERVICE"". These are routine progress payments to a heavy-civil road/grading contractor. Among ADOT capital-outlay peers Fisher is the 4th-largest builder (behind FNF, Pulice-FNF-Flatiron JV, Kiewit-Fann JV), i.e. normal for its peer group, and vendor_share_of_agency_year is only ~1-2% so it does not d"
IV0000057235,SUNDT CS A JOINT VENTURE,mixed,medium,3,annotate,offcontract; no_contract_named; new_vendor_large; whole_dollar,"Sundt Construction is a large employee-owned, Arizona-headquartered general/heavy-civil contractor (founded 1890); 'CS A JOINT VENTURE' denotes a project-specific JV it forms for ADOT freeway/transportation work.","All 23 high-value rows are with one agency (ADOT, DEPT OF TRANSPORTATION), category CAPITAL OUTLAY, paid by ACH. The payee is a Sundt Construction joint venture, a major AZ heavy/civil contractor. FY2023 spend (~$11.4M) is funded under 'ADOT CORONAVIRUS STATE AND LOCAL FISCAL RECOVERY' (ARPA/SLFRF) — federal infrastructure money for capital construction. FY2025 (~$64M) splits across appropriations 'FEDERAL AID', 'M-RARF CONSTRUCT FREEWAYS OTH RT 56-2' (Maricopa Regional Area Road Fund freeway construction) — all clearly benign capital road work for a construction JV. The substantive anomaly: t"
IV0000000009,GRANITE CONSTRUCTION CO,false_positive_marker,high,2,suppress_marker,new_vendor_large; offcontract; no_contract_named; peer_outlier; whole_dollar,"Granite Construction Co (NYSE: GVA) is a large publicly-traded U.S. heavy-civil/highway contractor with a Tucson, AZ office and a long-documented ADOT relationship, including ~$170M I-10 Tucson reconstruction, I-10 pavement rehab, the $55M Grant Road widening, and the Loop 202 P3. Its presence in ADOT CAPITAL OUTLAY is exactly what would be expected.","All 9 Tier-1 flagged rows (and all 259 high-value rows) are single-agency payments from DEPT OF TRANSPORTATION (ADOT), category CAPITAL OUTLAY, under appropriations FEDERAL AID ($165M/161 rows), HIGHWAY CONSTRUCTION ($12M/49 rows), 2.6 PERCENT DISTRIBUTION, and named road projects (e.g. 'REPAIR SR 186 & STATE BUSINESS ROUTE 10 IN WILCOX', 'PREVENTIVE SURFACE TREATMENTS', 'M-RARF CONSTRUCT FREEWAYS'). These are routine ACH highway-construction progress payments to a heavy-civil contractor, spread consistently across FY2021/2023/2024/2025. The driving markers all misfire structurally: (1) new_ve"
IV0000005722,PUBLIC CONSULTING GROUP INC,explained_benign,high,2,annotate,offcontract; no_contract_named,Public Consulting Group (PCG) is a private management-consulting firm that AHCCCS contracts as third-party administrator of Arizona's Medicaid School-Based Claiming Program (Direct Service + Medicaid Administrative Claiming); the most recent contract runs July 2022-June 2025 and PCG has served in this role for 11+ years.,"All 12 flagged Tier-1 rows ($44.25M total) are AHCCCS, a single appropriation ""ACUTE FEDERAL REVENUE AND EXPENSE"" under category ""PROFESSIONAL AND OUTSIDE SERVICES"", paid by ACH. They are steady, recurring payments of ~$2M-$5.3M each across FY2023, FY2024, FY2025 (roughly quarterly cadence, 4 per year) — the profile of a standing professional-services contract, not a discretionary one-off. hv_base also shows a small benign secondary stream at DEPT OF ECONOMIC SECURITY (~$519K/$389K/$519K per year) that was not flagged. vendor_share_of_agency_year is only ~0.0004-0.0005 (under 0.05% of AHCCCS s"
IV0000061315,LOCAL INITIATIVES SUPPORT CORPORATION,explained_benign,high,2,annotate,offcontract; no_contract_named,"Local Initiatives Support Corporation (LISC) is a major national nonprofit community-development financial intermediary. Its Phoenix office administered Arizona's ~$60M Child Care Infrastructure Grant program (federal ARPA/CCDF pandemic relief) on behalf of DES and First Things First, awarding facility-improvement grants to 478 child care providers statewide.","All payments are federal pandemic child-care relief flowing through FEDERAL GRANT FUND and CORONAVIRUS STATE & LOCAL FISCAL RECOVERY fund. The DES appropriation is ""DCC SLI CCDF"" (Child Care & Development Fund). Contract names in the data are explicit: ""CHILD CARE INFRASTRUCTURE BUILDING - FIRST THINGS FIRST"" and ""CHILD CARE INFRASTRUCTURE BUILDING"" (CTR065481, CTR062244, incl. Amendment #1). LISC is the documented intermediary administering Arizona's ~$60M Child Care Infrastructure Grant program for DES + First Things First, distributing ARPA/CCDF money to 478 providers. The large concentrate"
VC0000003001,DRIGGS TITLE AGENCY INC,explained_benign,high,2,annotate,first_year_seen=2021 (vendor actually appears in FY2016-2017 as $25K-$64K WARRANTs; 'new in 2021' is the known NULL-vendor_id artifact); no_contract_named / offcontract (right-of-way escrow disbursements carry no procurement contract number; contract_number only ~2-6% populated overall); whole_dollar (negotiated parcel/closing prices are naturally whole-dollar); agency_benford (fired only on the two small DPS rows; a 2-row sample cannot meaningfully fail Benford),"Driggs Title Agency Inc is an Arizona-based title and escrow company; such firms act as the neutral closing/escrow agent through which a government buyer disburses funds when acquiring real property, including highway right-of-way parcels.","Driggs Title is a title/escrow agency used by ADOT (and once by DPS) as the closing agent for real-estate / right-of-way land acquisition. Object code 8191, category2 = 'LAND AND LAND IMPROVEMENT' and 'IMPROVEMENTS OTHER THAN HIGHWAYS AND BRIDGES'; appropriations are 'M-RARF CONSTRUCT FREEWAYS - OTH RT 56-2' (Maricopa Regional Area Road Fund freeway construction) and 'FEDERAL AID - HWY', paid from the REGIONAL AREA ROAD FUND. The two DPS rows are 'DPS JOINT FUND / BUILDINGS AND BUILDING IMPROVEMENTS' (a property closing). Large, lumpy, whole-dollar amounts are inherent to escrow disbursement f"
PZ000010983,MARICOPA COUNTY,false_positive_marker,high,2,suppress_marker,offcontract; no_contract_named; nonstd_rail; whole_dollar; round_1m; peer_outlier,,"Maricopa County is Arizona's largest county government; hv_base shows $1.43B over 6,099 high-value txns across 24 agencies (FY2016-2021) — an unambiguous intergovernmental / state-aid pass-through relationship. The entire Tier-1 set ($34.2M/10 txns) is ADOT CAPITAL OUTLAY: 'FEDERAL AID' (federal-aid highway dollars passed through ADOT to the county as local project sponsor) and 'M-RARF CONSTRUCT FREEWAYS' (Maricopa Regional Area Road Fund half-cent transportation tax funding county/MAG freeway construction) — scheduled construction reimbursements, not discretionary procurement. Other flagged i"
IV0000030792,SUNDT CONSTRUCTION INC,explained_benign,high,2,downgrade,new_vendor_large; offcontract; no_contract_named,"Sundt Construction is a major employee-owned general contractor headquartered in Tempe, Arizona (founded 1890), and one of the largest builders in the Southwest, with a long history of Arizona Department of Transportation highway and freeway work.","All rows are from one agency, DEPT OF TRANSPORTATION (ADOT), category CAPITAL OUTLAY, paid by ACH. Appropriations are standard highway items: FEDERAL AID, HIGHWAY CONSTRUCTION, DEBT SERVICE, M-RARF CONSTRUCT FREEWAYS, and 2.6 PERCENT DISTRIBUTION. Funds are STATE HIGHWAY FUND, HIGHWAY BOND PROCEEDS FUND, and REGIONAL AREA ROAD FUND. transaction_description is N/A throughout. Full hv_base history: FY2021 ~$6.2M (18 txns), FY2023 ~$329K, FY2024 ~$444K, FY2025 ~$55.0M (26 txns); lifetime ~$62M. The Tier-1 flags ($30.6M / 4 txns) are the largest FY2025 single draws ($9.2M, $9.0M, $6.9M, $5.5M) und"
VC0000010109,ZEITLIN AND ZEITLIN PC,explained_benign,high,2,annotate,offcontract; no_contract_named; nonstd_rail; whole_dollar; round_1m; round_100k; peer_outlier,"Zeitlin & Zeitlin, P.C. is a Phoenix, AZ law firm (founded 1993, Dale & Dawn Zeitlin) specializing in eminent domain and inverse condemnation, representing property owners in government takings; principal Dale Zeitlin has handled over $100M in eminent-domain cases. ADOT payments to it are right-of-way acquisition/condemnation just-compensation payouts.","All 22 high-value rows (FY2016-2025, ~$41.7M total; Tier-1 $29.6M across 3 txns) are from ADOT, all category CAPITAL OUTLAY, under right-of-way / freeway-construction appropriations: ""M-RARF CONSTRUCT FREEWAYS OTH RT 56-2"" (Regional Area Road Fund freeway construction), ""LOCAL AGENCY DEPOSITS"", ""FEDERAL AID"", ""HIGHWAY CONSTRUCTION"". Payee is a ""PC"" (professional corp) and is a known Phoenix eminent-domain/condemnation law firm. The lumpy, round-number warrant payments ($16,244,000 in FY2018; $12,000,000 + $4,664,384 in FY2025; $1,326,795 in FY2016) are the classic signature of right-of-way / c"
